707326	A3278P004	329.79396	-11.788111	160.06	52813.497857	I.MP9701	03AL03	03AQ05	2003-06-23	11:56:54.85	
707325	A3278M004	330.13579	-12.698722	160.05	52813.494775	I.MP9701	03AL03	03AQ05	2003-06-23	11:52:28.56	
707323	A3268P014	328.52571	-11.207694	160.04	52813.4886394	I.MP9701	03AL03	03AQ05	2003-06-23	11:43:38.44	
707601	A3336M004	335.694	-10.638306	160.04	52815.5138511	I.MP9701	03AL03	03AQ05	2003-06-25	12:19:56.73	
707603	A3327P014	334.06608	-9.1777778	160.04	52815.520066	I.MP9701	03AL03	03AQ05	2003-06-25	12:28:53.70	
707602	A3336M014	336.05292	-11.542083	160.04	52815.5169285	I.MP9701	03AL03	03AQ05	2003-06-25	12:24:22.62	
707600	A3336P004	335.33721	-9.7341111	160.04	52815.5107644	I.MP9701	03AL03	03AQ05	2003-06-25	12:15:30.05	
703579	VWDAA15	192.07858	-4.6469167	140.05	52786.3682612	R.MP9601	03AL03	03AQ04	2003-05-27	8:50:17.76	
703580	VWDAA14	191.69208	-5.5578889	140.04	52786.3717708	R.MP9601	03AL03	03AQ04	2003-05-27	8:55:21.00	
703578	VWDAA16	192.46408	-3.7356667	140.05	52786.3645056	R.MP9601	03AL03	03AQ04	2003-05-27	8:44:53.28	
703575	VWDAA01	188.56483	-5.3078611	140.05	52786.3516683	R.MP9601	03AL03	03AQ04	2003-05-27	8:26:24.14	
703574	VWDAA02	188.95513	-4.3984722	140.05	52786.3487281	R.MP9601	03AL03	03AQ04	2003-05-27	8:22:10.11	
696329	VWDAA07	190.25521	-3.8761944	140.06	52725.4705727	G.MP9401	03AL03	03AQ02	2003-03-27	11:17:37.48	
696331	VWDAA09	190.39046	-6.0830278	140.05	52725.4756535	G.MP9401	03AL03	03AQ02	2003-03-27	11:24:56.46	
696330	VWDAA08	190.64283	-2.966	140.06	52725.4730894	G.MP9401	03AL03	03AQ02	2003-03-27	11:21:14.92	
696333	VWDAA11	191.16658	-4.2621667	140.05	52725.4806416	G.MP9401	03AL03	03AQ02	2003-03-27	11:32:07.44	
696334	VWDAA12	191.55317	-3.3514722	140.05	52725.4831039	G.MP9401	03AL03	03AQ02	2003-03-27	11:35:40.17	
696332	VWDAA10	190.77904	-5.1727222	140.04	52725.4781354	G.MP9401	03AL03	03AQ02	2003-03-27	11:28:30.90	
707357	A3278M014	330.48008	-13.609	160.05	52813.5920301	I.MP9701	03AL03	03AQ05	2003-06-23	14:12:31.40	
707355	A3268P004	328.86242	-12.119917	160.04	52813.5858574	I.MP9701	03AL03	03AQ05	2003-06-23	14:03:38.08	
707356	A3268P014	328.52571	-11.207722	160.04	52813.5888885	I.MP9701	03AL03	03AQ05	2003-06-23	14:07:59.97	
707358	A3278M004	330.13579	-12.698722	160.04	52813.5950467	I.MP9701	03AL03	03AQ05	2003-06-23	14:16:52.04	
707168	A3278M014	330.48008	-13.609	160.05	52812.5012524	I.MP9701	03AL03	03AQ05	2003-06-22	12:01:48.20	
707167	A3268P014	328.52571	-11.207694	160.04	52812.4979887	I.MP9701	03AL03	03AQ05	2003-06-22	11:57:06.22	
707166	A3268P004	328.86242	-12.119889	160.05	52812.4949188	I.MP9701	03AL03	03AQ05	2003-06-22	11:52:40.98	
707169	A3278M004	330.13579	-12.698722	160.04	52812.504262	I.MP9701	03AL03	03AQ05	2003-06-22	12:06:08.24	
696035	VWDAA16	192.46408	-3.7355	140.05	52722.5769964	G.MP9401	03AL03	03AQ02	2003-03-24	13:50:52.49	
707340	A3268P014	328.52571	-11.207694	160.05	52813.5400509	I.MP9701	03AL03	03AQ05	2003-06-23	12:57:40.40	
707341	A3278M014	330.48008	-13.609	160.04	52813.5431815	I.MP9701	03AL03	03AQ05	2003-06-23	13:02:10.88	
707342	A3278M004	330.13579	-12.698722	160.05	52813.5462161	I.MP9701	03AL03	03AQ05	2003-06-23	13:06:33.07	
707343	A3278P004	329.794	-11.788139	160.05	52813.5492385	I.MP9701	03AL03	03AQ05	2003-06-23	13:10:54.20	
696205	VWDAA01	188.56483	-5.2759167	140.04	52724.5067947	G.MP9401	03AL03	03AQ02	2003-03-26	12:09:47.07	
707322	A3268P004	328.86242	-12.119917	160.03	52813.485606	I.MP9701	03AL03	03AQ05	2003-06-23	11:39:16.36	
707321	A3268M004	329.20142	-13.031778	160.05	52813.4821831	I.MP9701	03AL03	03AQ05	2003-06-23	11:34:20.62	
696206	VWDAA02	188.95513	-4.3984444	140.05	52724.5092963	G.MP9401	03AL03	03AQ02	2003-03-26	12:13:23.20	
696207	VWDAA03	189.34442	-3.4889167	140.05	52724.5117829	G.MP9401	03AL03	03AQ02	2003-03-26	12:16:58.04	
696209	VWDAA05	189.47725	-5.6959444	140.04	52724.5172213	G.MP9401	03AL03	03AQ02	2003-03-26	12:24:47.92	
696208	VWDAA04	189.733	-2.5791389	140.04	52724.5146282	G.MP9401	03AL03	03AQ02	2003-03-26	12:21:03.88	
707339	A3268P004	328.86242	-12.119917	160.04	52813.536955	I.MP9701	03AL03	03AQ05	2003-06-23	12:53:12.91	
707338	A3268M004	329.20142	-13.031806	160.06	52813.5338927	I.MP9701	03AL03	03AQ05	2003-06-23	12:48:48.33	
707585	A3336M014	336.05292	-11.542139	160.06	52815.4659197	I.MP9701	03AL03	03AQ05	2003-06-25	11:10:55.46	
707586	A3327P014	334.06608	-9.1778333	160.05	52815.4690613	I.MP9701	03AL03	03AQ05	2003-06-25	11:15:26.89	
707583	A3336M004	335.694	-10.638333	160.05	52815.4602689	I.MP9701	03AL03	03AQ05	2003-06-25	11:02:47.24	
707354	A3268M004	329.20142	-13.031833	160.05	52813.582802	I.MP9701	03AL03	03AQ05	2003-06-23	13:59:14.10	
707353	A3268M014	329.54279	-13.943167	160.03	52813.5797744	I.MP9701	03AL03	03AQ05	2003-06-23	13:54:52.51	
707478	A3336M014	336.05292	-11.542111	160.06	52814.4938626	I.MP9701	03AL03	03AQ05	2003-06-24	11:51:09.72	
707479	A3327P014	334.06608	-9.1778333	160.04	52814.4968404	I.MP9701	03AL03	03AQ05	2003-06-24	11:55:27.01	
707477	A3336M004	335.694	-10.638306	160.05	52814.4907244	I.MP9701	03AL03	03AQ05	2003-06-24	11:46:38.59	
707327	A3278P014	329.4545	-10.877	160.04	52813.5009506	I.MP9701	03AL03	03AQ05	2003-06-23	12:01:22.13	
707328	A3288M014	331.41479	-13.271639	160.05	52813.5039991	I.MP9701	03AL03	03AQ05	2003-06-23	12:05:45.52	
707330	A3288P004	330.72342	-11.453139	160.05	52813.5101017	I.MP9701	03AL03	03AQ05	2003-06-23	12:14:32.79	
707329	A3288M004	331.06792	-12.362639	160.06	52813.5070157	I.MP9701	03AL03	03AQ05	2003-06-23	12:10:06.15	
696323	VWDAA01	188.56483	-5.3078611	140.05	52725.455669	G.MP9401	03AL03	03AQ02	2003-03-27	10:56:09.80	
696324	VWDAA02	188.95513	-4.3984444	140.04	52725.4581342	G.MP9401	03AL03	03AQ02	2003-03-27	10:59:42.79	
696325	VWDAA03	189.34442	-3.4888889	140.03	52725.4605958	G.MP9401	03AL03	03AQ02	2003-03-27	11:03:15.48	
696327	VWDAA05	189.47725	-5.6960278	140.05	52725.4655823	G.MP9401	03AL03	03AQ02	2003-03-27	11:10:26.31	
696326	VWDAA04	189.733	-2.5791944	140.04	52725.4630587	G.MP9401	03AL03	03AQ02	2003-03-27	11:06:48.27	
696328	VWDAA06	189.86675	-4.7861944	140.04	52725.4680977	G.MP9401	03AL03	03AQ02	2003-03-27	11:14:03.64	
707171	A3278P014	329.4545	-10.877056	160.05	52812.5103792	I.MP9701	03AL03	03AQ05	2003-06-22	12:14:56.76	
707170	A3278P004	329.794	-11.788111	160.04	52812.5073446	I.MP9701	03AL03	03AQ05	2003-06-22	12:10:34.58	
