expnum,object,"""ra""","""dec""",inttime,mjdate,filter,runid
1332124,ll08-1+2,27.917997814643652,16.63656423462284,320.143968,55803.5942749,r.MP9601,11BC22
1332125,ll08+0+2,28.933365150154685,16.636564264209582,320.13964799999997,55803.5986243,r.MP9601,11BC22
1332126,ll08+1+2,29.94874885296158,16.636563526823675,320.13792,55803.6030307,r.MP9601,11BC22
1332127,ll08+2+2,30.964078442165267,16.63656353923868,320.13792,55803.6073669,r.MP9601,11BC22
1332967,ll08+2-2,30.964118838995738,13.696533750354076,320.124096,55809.5223304,r.MP9601,11BC22
1332968,ll08+1-2,29.948707913383235,13.696563391840611,320.126688,55809.5265921,r.MP9601,11BC22
1332969,ll08+0-2,28.933369709049384,13.696582594795103,320.12496,55809.5308555,r.MP9601,11BC22
1332970,ll08-1-2,27.91799743293212,13.696582916973071,320.131872,55809.5351194,r.MP9601,11BC22
1332971,ll08-2-2,26.90262015788607,13.696564021858862,320.131008,55809.5393803,r.MP9601,11BC22
1332972,ll08-2-1,26.90261865171755,14.676564152377864,320.13273599999997,55809.5436523,r.MP9601,11BC22
1332973,ll08-1-1,27.91799996338602,14.67656445844982,320.130144,55809.547913,r.MP9601,11BC22
1332974,ll08+0-1,28.93336748181742,14.67656414518119,320.128416,55809.5521782,r.MP9601,11BC22
1332975,ll08+1-1,29.948748406879837,14.676564267402894,320.122368,55809.5564396,r.MP9601,11BC22
1332976,ll08+2-1,30.96411805569704,14.676563798102306,320.12496,55809.560699,r.MP9601,11BC22
1332978,ll08+2+1,30.964117728517145,15.656562931008594,320.131008,55809.5697224,r.MP9601,11BC22
1332979,ll08+1+1,29.948748472321906,15.656564034268667,320.136192,55809.5739827,r.MP9601,11BC22
1332980,ll08+0+1,28.933365955042206,15.65656457654782,320.131872,55809.5782477,r.MP9601,11BC22
1332981,ll08-1+1,27.91799888710231,15.65656375308835,320.1336,55809.5825897,r.MP9601,11BC22
1332982,ll08-2+1,26.902618551733344,15.656563447391747,320.122368,55809.5869818,r.MP9601,11BC22
1332983,ll08-2+2,26.902616906884884,16.63656340196579,320.126688,55809.5913583,r.MP9601,11BC22
1332984,ll08-1+2,27.91799954398464,16.636564028091428,320.12582399999997,55809.5956206,r.MP9601,11BC22
1332985,ll08+0+2,28.93336564638718,16.63656397648846,320.12496,55809.5998827,r.MP9601,11BC22
1332986,ll08+1+2,29.94874967471047,16.636582213420354,320.126688,55809.6041446,r.MP9601,11BC22
1332987,ll08+2+2,30.96412041806342,16.636562657320553,320.13273599999997,55809.6084054,r.MP9601,11BC22
1421397,ll10+2-2,29.811418273420657,13.413223458935391,320.080896,55858.4015177,r.MP9601,11BC22
1421398,ll10+1-2,28.797367384487814,13.413223161739579,320.085216,55858.4057769,r.MP9601,11BC22
1421399,ll10+0-2,27.783368449150245,13.413224294673796,320.114592,55858.410072,r.MP9601,11BC22
1421400,ll10-1-2,26.76937033513871,13.413222601893764,320.110272,55858.4143604,r.MP9601,11BC22
